source,target,exposure
1,2,0
1,3,0
1,4,11840564.28
1,5,14594717.86
1,6,18489282.14
1,7,0
1,8,7946000
1,9,6648717.86
1,10,22540717.86
1,11,22540717.86
1,12,33084000
1,13,14437846.42
1,14,5105817154
1,15,14594717.86
1,16,0
1,17,29032564.28
1,18,10543282.14
1,19,6648717.86
2,1,7946000
2,3,6648717.86
2,4,3894564.28
2,5,14594717.86
2,6,212392153.6
2,7,11840564.28
2,8,68765282.14
2,9,18489282.14
2,10,7946000
2,11,2597282.14
2,12,25138000
2,13,109795282.1
2,14,25138000
2,15,33084000
2,16,0
2,17,42486871.44
2,18,7946000
2,19,1297282.14
3,1,7946000
3,2,6648717.86
3,4,17192000
3,5,25138000
3,6,76711282.14
3,7,14594717.86
3,8,70062564.28
3,9,7946000
3,10,33084000
3,11,10543282.14
3,12,14594717.86
3,13,156095435.7
3,14,7946000
3,15,11840564.28
3,16,0
3,17,22832152960
3,18,33084000
3,19,6648717.86
4,1,6648717.86
4,2,6648717.86
4,3,0
4,5,18489282.14
4,6,2990545282
4,7,33084000
4,8,6648717.86
4,9,3894564.28
4,10,33084000
4,11,6648717.86
4,12,405547435.7
4,13,2324975129
4,14,33084000
4,15,321515435.7
4,16,0
4,17,2602351282
4,18,593351282.1
4,19,7946000
5,1,18489282.14
5,2,154170153.6
5,3,6648717.86
5,4,25138000
5,6,91306000
5,7,7946000
5,8,3894564.28
5,9,25138000
5,10,17192000
5,11,22540717.86
5,12,25138000
5,13,130879128.6
5,14,91306000
5,15,1942832000
5,16,0
5,17,33084000
5,18,46523916000
5,19,6648717.86
6,1,33084000
6,2,43627282.14
6,3,33084000
6,4,58222000
6,5,109795282.1
6,7,352004871.4
6,8,33084000
6,9,1688279718
6,10,58222000
6,11,43627282.14
6,12,1804925000
6,13,8071785000
6,14,8472430100
6,15,3980066846
6,16,0
6,17,9488522718
6,18,18161215029
6,19,380409435.7
7,1,6648717.86
7,2,26435282.14
7,3,0
7,4,0
7,5,6648717.86
7,6,1323606000
7,8,7946000
7,9,33084000
7,10,7946000
7,11,2597282.14
7,12,7946000
7,13,1628961718
7,14,597402717.9
7,15,18489282.14
7,16,0
7,17,109795282.1
7,18,4340449718
7,19,10543282.14
8,1,0
8,2,25138000
8,3,0
8,4,0
8,5,21243435.72
8,6,33084000
8,7,33084000
8,9,18489282.14
8,10,6648717.86
8,11,7946000
8,12,18489282.14
8,13,26435282.14
8,14,25138000
8,15,7946000
8,16,0
8,17,3894564.28
8,18,1544304436
8,19,0
9,1,6648717.86
9,2,25138000
9,3,0
9,4,7946000
9,5,25138000
9,6,10543282.14
9,7,6648717.86
9,8,6648717.86
9,10,51573282.14
9,11,26435282.14
9,12,25138000
9,13,15212123242
9,14,33084000
9,15,295752153.6
9,16,0
9,17,18489282.14
9,18,7946000
9,19,1297282.14
10,1,33084000
10,2,26435282.14
10,3,13297435.72
10,4,7946000
10,5,7946000
10,6,76711282.14
10,7,6648717.86
10,8,7946000
10,9,17192000
10,11,21086564.28
10,12,457120717.9
10,13,84657282.14
10,14,566916000
10,15,7946000
10,16,0
10,17,17764710718
10,18,2356325436
10,19,80605846.42
11,1,25138000
11,2,0
11,3,6648717.86
11,4,7946000
11,5,25138000
11,6,1422858000
11,7,7946000
11,8,1297282.14
11,9,33084000
11,10,4054153.58
11,12,10543282.14
11,13,3496642000
11,14,531075128.6
11,15,6648717.86
11,16,0
11,17,2009000000
11,18,3276980000
11,19,6648717.86
12,1,2597282.14
12,2,25138000
12,3,33084000
12,4,3098415282
12,5,34381282.14
12,6,11088072322
12,7,33084000
12,8,149817000
12,9,6648717.86
12,10,59519282.14
12,11,46381435.72
12,13,7590331718
12,14,28144678396
12,15,25138000
12,16,0
12,17,1422858000
12,18,2257354100
12,19,15892000
13,1,157763000
13,2,25138000
13,3,33084000
13,4,3164583282
13,5,3018949846
13,6,750825282.1
13,7,298974717.9
13,8,685656564.3
13,9,3488696000
13,10,5744001000
13,11,6405502000
13,12,33084000
13,14,15787715886
13,15,145476564.3
13,16,0
13,17,2689305000
13,18,749528000
13,19,33084000
14,1,109795282.1
14,2,4699119229
14,3,4625886210
14,4,33084000
14,5,3062734000
14,6,14270502000
14,7,3933233129
14,8,6481273307
14,9,11328890618
14,10,332058717.9
14,11,33084000
14,12,8535726000
14,13,15654839994
14,15,3123553282
14,16,0
14,17,8279703154
14,18,35832016678
14,19,4349194282
15,1,2948887282
15,2,33084000
15,3,6648717.86
15,4,43627282.14
15,5,14594717.86
15,6,58222000
15,7,76711282.14
15,8,10543282.14
15,9,1124572000
15,10,7946000
15,11,33084000
15,12,33084000
15,13,84657282.14
15,14,18775436000
15,16,0
15,17,1738757000
15,18,164041435.7
15,19,6648717.86
16,1,0
16,2,0
16,3,0
16,4,2754153.58
16,5,0
16,6,0
16,7,0
16,8,6648717.86
16,9,6648717.86
16,10,0
16,11,11840564.28
16,12,0
16,13,6648717.86
16,14,11840564.28
16,15,0
16,17,0
16,18,11840564.28
16,19,0
17,1,33084000
17,2,6648717.86
17,3,26435282.14
17,4,6648717.86
17,5,43627282.14
17,6,490204717.9
17,7,25138000
17,8,1297282.14
17,9,3131499282
17,10,25138000
17,11,25138000
17,12,1636907718
17,13,5318759000
17,14,600000000
17,15,33084000
17,16,0
17,18,3312732718
17,19,7946000
18,1,1555201718
18,2,3701138618
18,3,43627282.14
18,4,3706426154
18,5,3049338000
18,6,703303435.7
18,7,325410000
18,8,142879282.1
18,9,66168000
18,10,58222000
18,11,2606690154
18,12,13833454000
18,13,21676722407
18,14,20957988040
18,15,1088247718
18,16,33084000
18,17,6335415564
18,19,99541000
19,1,25138000
19,2,33084000
19,3,1297282.14
19,4,51573282.14
19,5,6648717.86
19,6,16861623678
19,7,18489282.14
19,8,13297435.72
19,9,25138000
19,10,105741128.6
19,11,390952717.9
19,12,1647079846
19,13,8328253536
19,14,5659004014
19,15,306920717.9
19,16,0
19,17,12492441040
19,18,9933425322
